WMO,station_name,data_source,lat,lon,http_link,host,,,,,,,,
690190,Abilene-Dyess AFB,TMY3,,,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/TX_Texas/USA_TX_Abilene-Dyess.AFB.690190_TMY3.zip,https://climate.onebuilding.org,,,,,,,,
704540,Adak_Nas,TMY3,51.88,-176.65,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Adak.NAS.704540_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
701718,Ambler,TMY3,67.1,-157.85,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Ambler.701718_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
701625,Anaktuvuk_Pass,TMY3,68.13,-151.73,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Anaktuvuk.Pass.701625_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702720,Anchorage_Elmendorf,TMY3,61.25,-149.8,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Anchorage-Elmendorf.AFB.702720_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702725,Lake_Hood_Seaplane,TMY3,61.18,-149.97,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Anchorage-Lake.Hood.Seaplane.Base.702725_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702735,Anchorage_Merrill_Field,TMY3,61.22,-149.85,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Anchorage-Merrill.Field.702735_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702730,Anchorage_Intl_Ap,TMY3,61.18,-150,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Anchorage.Intl.AP.702730_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702320,Aniak_Airport,TMY3,61.58,-159.53,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Aniak.AP.702320_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
703980,Annette_Island_Ap,TMY3,55.05,-131.57,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Annette.Island.AP.703980_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702075,Anvik,TMY3,62.65,-160.18,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Anvik.702075_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
700260,Barrow_W_Post_W_Rogers_Arpt_N,TMY3,71.32,-156.62,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Barrow-W.Post-W.Rogers.AP.700260_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702190,Bethel_Airport,TMY3,60.78,-161.83,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Bethel.AP.702190_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
701740,Bettles_Field,TMY3,66.92,-151.52,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Bettles.Field.701740_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702670,Big_Delta_Allen_Aaf,TMY3,64,-145.72,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Big.Delta-Allen.AAF.702670_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702986,Big_River_Lake,TMY3,60.82,-152.3,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Big.River.Lake.702986_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
702746,Birchwood,TMY3,61.42,-149.52,/north_and_central_america_wmo_region_4/USA/AK/USA_AK_Birchwood.702746_TMY3.zip, https://energyplus-weather.s3.amazonaws.com,,,,,,,,
