dis,sensor,temp,equipRef,discharge,air,point,cur,pressure,humidity,flow,position,outside,damper,writable,cmd,mixed,return,exhaust,zone,cooling,sp,heating
s:Perimeter_ZN_1 ZN PSZ-AC-2 Discharge Air Temp Sensor,sensor,temp,s:Perimeter_ZN_1 ZN PSZ-AC-2,discharge,air,point,cur,,,,,,,,,,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Discharge Air Pressure Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,discharge,air,point,cur,pressure,,,,,,,,,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Discharge Air Humidity Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,discharge,air,point,cur,,humidity,,,,,,,,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Discharge Air Flow Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,discharge,air,point,cur,,,flow,,,,,,,,,,,,
s:Perimeter_ZN_1_ZN_PSZ_AC_2_Outside_Air_Damper_Sensor_position,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,,,position,outside,damper,,,,,,,,,
s:Perimeter_ZN_1_ZN_PSZ_AC_2_Outside_Air_Damper_CMD,,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,,,,,,outside,damper,writable,cmd,,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Mixed Air Temp Sensor,sensor,temp,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,,,,,,,,mixed,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Mixed Air Pressure Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,pressure,,,,,,,,mixed,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Mixed Air Humidity Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,humidity,,,,,,,mixed,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Mixed Air Flow Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,,flow,,,,,,mixed,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Outside Air Temp Sensor,sensor,temp,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,,,,outside,,,,,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Outside Air Pressure Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,pressure,,,,outside,,,,,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Outside Air Humidity Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,humidity,,,outside,,,,,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Outside Air Flow Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,,flow,,outside,,,,,,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Return Air Temp Sensor,sensor,temp,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,,,,,,,,,return,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Return Air Pressure Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,pressure,,,,,,,,,return,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Return Air Humidity Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,humidity,,,,,,,,return,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Return Air Flow Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,,flow,,,,,,,return,,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Exhaust Air Temp Sensor,sensor,temp,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,,,,,,,,,,,exhaust,,,,
s:Perimeter_ZN_1 ZN PSZ-AC-2 Exhaust Air Pressure Sensor,sensor,,s:Perimeter_ZN_1 ZN PSZ-AC-2,,air,point,cur,pressure,,,,,,,,,,exhaust,,,,
